"","ETABLISSEMENT","","","","","FORMATION","","","","","","","UNITE DE VALEUR (COURS)","","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Formation initiale ou continue","Avis critique sur le cours et/ou la formation","Comptabilité"
"Ecole_commerce","Grenoble Ecole de Management","Mastère Spécialisé Management de la Fonction Achats","Droit, Economie, Gestion","Gestion","Formation visant à former des managers de la fonction achats","Bac+5","Bac+6","1.0","60.0","https://www.grenoble-em.com/mastere-specialise-management-de-la-fonction-achats","Non","Non","","","","","","","Initiale ","","1.0"
"Ecole_commerce","Grenoble Ecole de Management","Mastère Spécialisé Management des Entreprises de Biotechnologies & Pharmacie","Droit, Economie, Gestion","Gestion","Formation visant à former des managers spécialistes de l'industrie pharmaceutique","Bac+5","Bac+6","1.0","60.0","https://www.grenoble-em.com/mastere-specialise-management-des-entreprises-de-biotechnologies-pharmacie","Non","Non","","","","","","","Initiale ","","1.0"
"Ecole_commerce","Grenoble Ecole de Management","Mastère spécialisé Management Technologique et Innovation","Droit, Economie, Gestion","Gestion","Formation en management à destination des ingénieurs et profils scientifiques","Bac+5","Bac+6","1.0","60.0","https://www.grenoble-em.com/mastere-specialise-management-technologique-et-innovation","Non","Non","","","","","","","Initiale ","","1.0"
"Ecole_commerce","Grenoble Ecole de Management","Mastère Spécialisé Stratégie Digitale","Droit, Economie, Gestion","Gestion","Formation spécialisée dans le management de la transformation digitale et dans les métiers impactés par les nouvelles technologies","Bac+5","Bac+6","1.0","60.0","https://www.grenoble-em.com/mastere-specialise-strategie-digitale","Non","Non","","","","","","","Initiale ","","1.0"
"Ecole_commerce","Grenoble Ecole de Management","BTS Management des Unités Commerciales pour Sportifs de Haut Niveau","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce dédiée aux sportifs de haut niveau","Bac+0","Bac+3","3.0","180.0","https://www.grenoble-em.com/bts-management-des-unites-commerciales-pour-sportifs-de-haut-niveau","Non","Non","","","","","","","Initiale ","","1.0"
"Ecole_commerce","Grenoble Ecole de Management","Programme responsable opérationnel d’unité fonction commerciale et marketing pour sportifs de haut niveau","Droit, Economie, Gestion","Gestion","Formation en e-learning aux métiers du commerce et du marketing dédiée aux sportifs de haut niveau","Bac+1","Bac+3","2.0","120.0","https://www.grenoble-em.com/programme-responsable-operationnel-dunite-fonction-commerciale-et-marketing-pour-sportifs-de-haut","Non","Non","","","","","","","Initiale ","","1.0"
"Ecole_commerce","Grenoble Ecole de Management","Programme Grande Ecole pour Sportifs de haut niveau","Droit, Economie, Gestion","Gestion","Formation en e-learning aux métiers du management et de la gestion","Bac+3","Bac+5","4.0","120.0","https://www.grenoble-em.com/diplome-grande-ecole-pour-sportifs-de-haut-niveau","Non","Non","","","","","","","Initiale ","","1.0"
"Ecole_commerce","Grenoble Ecole de Management","BTS Technico-commercial option équipements et systèmes","Droit, Economie, Gestion","Gestion","Formation en partenariat avec PSH Sup (Paris) au métier de technico-commercial","Bac+0","Bac+2","2.0","120.0","https://www.grenoble-em.com/bts-technico-commercial-option-equipements-et-systemes","Non","Non","","","","","","","Initiale ","","1.0"
"Ecole_commerce","Grenoble Ecole de Management","Bachelor in International Business - Francais","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce international et de la gestion","Bac+0","Bac+3","3.0","180.0","https://www.grenoble-em.com/bachelor-international-business-francais","Oui","Improbable","Les Enjeux internationaux contemporains","Non indiqué","Optionnel","Non indiqué","Non indiqué","Non indiqué","Initiale ","Pas de détails sur le contenu du cours","1.0"
"Ecole_commerce","Grenoble Ecole de Management","Bachelor in International Business - Francais","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce international et de la gestion","Bac+0","Bac+3","3.0","180.0","https://www.grenoble-em.com/bachelor-international-business-francais","Oui","Improbable","Marketing Durable","Non indiqué","Optionnel","Non indiqué","Non indiqué","Non indiqué","Initiale ","Pas de détails sur le contenu du cours","1.0"
"Ecole_commerce","Grenoble Ecole de Management","Bachelor in International Business - Francais","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce international et de la gestion","Bac+0","Bac+3","3.0","180.0","https://www.grenoble-em.com/bachelor-international-business-francais","Oui","Improbable","Développement durable et entrepreneuriat social","Non indiqué","Optionnel","Non indiqué","Non indiqué","Non indiqué","Initiale ","Pas de détails sur le contenu du cours","1.0"
"Ecole_commerce","Grenoble Ecole de Management","Bachelor in International Business - Francais","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce international et de la gestion","Bac+0","Bac+3","3.0","180.0","https://www.grenoble-em.com/bachelor-international-business-francais","Oui","Improbable","Management du développement durable des destinations touristiques","Non indiqué","Optionnel","Non indiqué","Non indiqué","Non indiqué","Initiale ","Pas de détails sur le contenu du cours","1.0"
"Ecole_commerce","Grenoble Ecole de Management","BAC +3 Responsable opérationnel d’unité","Droit, Economie, Gestion","Gestion","Formation d'un an en alternance au métier de responsable opérationnel d'unité","Bac+2","Bac+3","1.0","60.0","https://www.grenoble-em.com/bac-3-responsable-operationnel-dunite","Non","Non","","","","","","","Initiale ","","1.0"
"Ecole_commerce","Grenoble Ecole de Management","Manager des Systèmes d’Information et du Numérique (Titre professionnel de niveau 1)","Droit, Economie, Gestion","Gestion","Formation spécialisée dans le management de la transformation digitale et dans les métiers impactés par les nouvelles technologies","Bac+3","Bac+5","2.0","120.0","https://www.grenoble-em.com/manager-des-systemes-dinformation-et-du-numerique-titre-professionnel-de-niveau-1","Oui","Improbable","Développement durable et SI","Non indiqué","Obligatoire","Non indiqué","Non indiqué","Non indiqué","Initiale ","Pas de détails sur le contenu du cours","1.0"
"Ecole_commerce","Grenoble Ecole de Management","Programme Grande Ecole","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+2","Bac+5","3.0","180.0","https://www.grenoble-em.com/programme-grande-ecole","Non indiqué","Non indiqué","","","","","","","Initiale ","","1.0"
"Ecole_commerce","Grenoble Ecole de Management","Bachelor in International Business (BIB) English Track","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce international et de la gestion","Bac+0","Bac+3","3.0","180.0","https://en.grenoble-em.com/bachelor-international-business-english-track","Oui","Improbable","Ethical Dimensions of International Business","Non indiqué","Obligatoire","Non indiqué","Non indiqué","Non indiqué","Initiale ","Pas de détails sur le contenu du cours","1.0"
