"","ETABLISSEMENT","FORMATION","","","","","","","","","UNITE DE VALEUR (COURS)","","","","","","","","","",""
"Ecole_ingénieurs","Centrale Nantes","Mastère spécialisé Analyse du cycle de vie du navire/ Life Cycle Assessment of Ship (LICAS)","Sciences, Technologie, Santé","Sciences de l'ingénieur","Porté par Centrale Nantes, l'Ecole Navale et l’Ecole Nationale Supérieure Maritime, ce diplôme s'adresse à des étudiants  qui souhaitent acquérir une expertise, une double compétence ou souhaitant approfondir un domaine dans une perspective d’évolution de carrière. 
Le Mastère Spécialisé «Life Cycle Assessment of Ship (LICAS)» a pour objectif de former à la fois des experts possédant, dans le domaine du cycle de vie du navire, des compétences de recherche et développement et de gestion de projets. ","Bac+5","Bac+6","1.0","60.0","https://www.ec-nantes.fr/masteres-specialises/mastere-specialise-analyse-du-cycle-de-vie-du-navire-life-cycle-assessment-of-ship-licas--239719.kjsp?RH=1488464866307","Non indiqué","Non","Cartographie des acteurs maritimes","","Obligatoire","1.0","12.0","","","Initiale ou continue","1.0"
"Ecole_ingénieurs","Centrale Nantes","Mastère spécialisé Analyse du cycle de vie du navire/ Life Cycle Assessment of Ship (LICAS)","Sciences, Technologie, Santé","Sciences de l'ingénieur","Porté par Centrale Nantes, l'Ecole Navale et l’Ecole Nationale Supérieure Maritime, ce diplôme s'adresse à des étudiants  qui souhaitent acquérir une expertise, une double compétence ou souhaitant approfondir un domaine dans une perspective d’évolution de carrière. 
Le Mastère Spécialisé «Life Cycle Assessment of Ship (LICAS)» a pour objectif de former à la fois des experts possédant, dans le domaine du cycle de vie du navire, des compétences de recherche et développement et de gestion de projets. ","Bac+5","Bac+6","1.0","60.0","https://www.ec-nantes.fr/masteres-specialises/mastere-specialise-analyse-du-cycle-de-vie-du-navire-life-cycle-assessment-of-ship-licas--239719.kjsp?RH=1488464866308","Oui","non indiqué","Economie circulaire","","Obligatoire","4.0","24.0","","","Initiale ou continue","1.0"
"Ecole_ingénieurs","Centrale Nantes","Mastère spécialisé Analyse du cycle de vie du navire/ Life Cycle Assessment of Ship (LICAS)","Sciences, Technologie, Santé","Sciences de l'ingénieur","Porté par Centrale Nantes, l'Ecole Navale et l’Ecole Nationale Supérieure Maritime, ce diplôme s'adresse à des étudiants  qui souhaitent acquérir une expertise, une double compétence ou souhaitant approfondir un domaine dans une perspective d’évolution de carrière. 
Le Mastère Spécialisé «Life Cycle Assessment of Ship (LICAS)» a pour objectif de former à la fois des experts possédant, dans le domaine du cycle de vie du navire, des compétences de recherche et développement et de gestion de projets. ","Bac+5","Bac+6","1.0","60.0","https://www.ec-nantes.fr/masteres-specialises/mastere-specialise-analyse-du-cycle-de-vie-du-navire-life-cycle-assessment-of-ship-licas--239719.kjsp?RH=1488464866309","Oui","Improbable","Famille des matériaux et choix des matériaux","","Obligatoire","4.0","36.0","","","Initiale ou continue","1.0"
"Ecole_ingénieurs","Centrale Nantes","Mastère spécialisé Analyse du cycle de vie du navire/ Life Cycle Assessment of Ship (LICAS)","Sciences, Technologie, Santé","Sciences de l'ingénieur","Porté par Centrale Nantes, l'Ecole Navale et l’Ecole Nationale Supérieure Maritime, ce diplôme s'adresse à des étudiants  qui souhaitent acquérir une expertise, une double compétence ou souhaitant approfondir un domaine dans une perspective d’évolution de carrière. 
Le Mastère Spécialisé «Life Cycle Assessment of Ship (LICAS)» a pour objectif de former à la fois des experts possédant, dans le domaine du cycle de vie du navire, des compétences de recherche et développement et de gestion de projets. ","Bac+5","Bac+6","1.0","60.0","https://www.ec-nantes.fr/masteres-specialises/mastere-specialise-analyse-du-cycle-de-vie-du-navire-life-cycle-assessment-of-ship-licas--239719.kjsp?RH=1488464866310","Oui","Oui","Recyclage et traitement des déchets issus des navires en fin de vie","","Obligatoire","2.0","24.0","","","Initiale ou continue","1.0"
"Ecole_ingénieurs","Centrale Nantes","Mastère spécialisé Analyse du cycle de vie du navire/ Life Cycle Assessment of Ship (LICAS)","Sciences, Technologie, Santé","Sciences de l'ingénieur","Porté par Centrale Nantes, l'Ecole Navale et l’Ecole Nationale Supérieure Maritime, ce diplôme s'adresse à des étudiants  qui souhaitent acquérir une expertise, une double compétence ou souhaitant approfondir un domaine dans une perspective d’évolution de carrière. 
Le Mastère Spécialisé «Life Cycle Assessment of Ship (LICAS)» a pour objectif de former à la fois des experts possédant, dans le domaine du cycle de vie du navire, des compétences de recherche et développement et de gestion de projets. ","Bac+5","Bac+6","1.0","60.0","https://www.ec-nantes.fr/masteres-specialises/mastere-specialise-analyse-du-cycle-de-vie-du-navire-life-cycle-assessment-of-ship-licas--239719.kjsp?RH=1488464866311","Oui","Non indiqué","Cadre législatif et réglementaire","","Obligatoire","2.0","24.0","","","Initiale ou continue","1.0"
"Ecole_ingénieurs","Centrale Nantes","Mastère spécialisé Analyse du cycle de vie du navire/ Life Cycle Assessment of Ship (LICAS)","Sciences, Technologie, Santé","Sciences de l'ingénieur","Porté par Centrale Nantes, l'Ecole Navale et l’Ecole Nationale Supérieure Maritime, ce diplôme s'adresse à des étudiants  qui souhaitent acquérir une expertise, une double compétence ou souhaitant approfondir un domaine dans une perspective d’évolution de carrière. 
Le Mastère Spécialisé «Life Cycle Assessment of Ship (LICAS)» a pour objectif de former à la fois des experts possédant, dans le domaine du cycle de vie du navire, des compétences de recherche et développement et de gestion de projets. ","Bac+5","Bac+6","1.0","60.0","https://www.ec-nantes.fr/masteres-specialises/mastere-specialise-analyse-du-cycle-de-vie-du-navire-life-cycle-assessment-of-ship-licas--239719.kjsp?RH=1488464866312","Oui","non indiqué","Droit de l'environnement","","Obligatoire","2.0","20.0","","","Initiale ou continue","1.0"
"Ecole_ingénieurs","Centrale Nantes","Mastère spécialisé Analyse du cycle de vie du navire/ Life Cycle Assessment of Ship (LICAS)","Sciences, Technologie, Santé","Sciences de l'ingénieur","Porté par Centrale Nantes, l'Ecole Navale et l’Ecole Nationale Supérieure Maritime, ce diplôme s'adresse à des étudiants  qui souhaitent acquérir une expertise, une double compétence ou souhaitant approfondir un domaine dans une perspective d’évolution de carrière. 
Le Mastère Spécialisé «Life Cycle Assessment of Ship (LICAS)» a pour objectif de former à la fois des experts possédant, dans le domaine du cycle de vie du navire, des compétences de recherche et développement et de gestion de projets. ","Bac+5","Bac+6","1.0","60.0","https://www.ec-nantes.fr/masteres-specialises/mastere-specialise-analyse-du-cycle-de-vie-du-navire-life-cycle-assessment-of-ship-licas--239719.kjsp?RH=1488464866313","Oui","Oui","Règlementation pour le cycle de vie des navires militaires et notamment les navires exploitant l'énergie nucléaire","","Obligatoire","1.0","16.0","","","Initiale ou continue","1.0"
"Ecole_ingénieurs","Centrale Nantes","Mastère spécialisé Analyse du cycle de vie du navire/ Life Cycle Assessment of Ship (LICAS)","Sciences, Technologie, Santé","Sciences de l'ingénieur","Porté par Centrale Nantes, l'Ecole Navale et l’Ecole Nationale Supérieure Maritime, ce diplôme s'adresse à des étudiants  qui souhaitent acquérir une expertise, une double compétence ou souhaitant approfondir un domaine dans une perspective d’évolution de carrière. 
Le Mastère Spécialisé «Life Cycle Assessment of Ship (LICAS)» a pour objectif de former à la fois des experts possédant, dans le domaine du cycle de vie du navire, des compétences de recherche et développement et de gestion de projets. ","Bac+5","Bac+6","1.0","60.0","https://www.ec-nantes.fr/masteres-specialises/mastere-specialise-analyse-du-cycle-de-vie-du-navire-life-cycle-assessment-of-ship-licas--239719.kjsp?RH=1488464866314","Oui","Non indiqué","Management intégré : qualité, sécurité et environnement","","Obligatoire","2.0","18.0","","","Initiale ou continue","1.0"
"Ecole_ingénieurs","Centrale Nantes","Mastère spécialisé Analyse du cycle de vie du navire/ Life Cycle Assessment of Ship (LICAS)","Sciences, Technologie, Santé","Sciences de l'ingénieur","Porté par Centrale Nantes, l'Ecole Navale et l’Ecole Nationale Supérieure Maritime, ce diplôme s'adresse à des étudiants  qui souhaitent acquérir une expertise, une double compétence ou souhaitant approfondir un domaine dans une perspective d’évolution de carrière. 
Le Mastère Spécialisé «Life Cycle Assessment of Ship (LICAS)» a pour objectif de former à la fois des experts possédant, dans le domaine du cycle de vie du navire, des compétences de recherche et développement et de gestion de projets. ","Bac+5","Bac+6","1.0","60.0","https://www.ec-nantes.fr/masteres-specialises/mastere-specialise-analyse-du-cycle-de-vie-du-navire-life-cycle-assessment-of-ship-licas--239719.kjsp?RH=1488464866315","Oui","Oui","Analyse et management environnemental","","Obligatoire","1.0","12.0","","","Initiale ou continue","1.0"
"Ecole_ingénieurs","Centrale Nantes","Mastère spécialisé Analyse du cycle de vie du navire/ Life Cycle Assessment of Ship (LICAS)","Sciences, Technologie, Santé","Sciences de l'ingénieur","Porté par Centrale Nantes, l'Ecole Navale et l’Ecole Nationale Supérieure Maritime, ce diplôme s'adresse à des étudiants  qui souhaitent acquérir une expertise, une double compétence ou souhaitant approfondir un domaine dans une perspective d’évolution de carrière. 
Le Mastère Spécialisé «Life Cycle Assessment of Ship (LICAS)» a pour objectif de former à la fois des experts possédant, dans le domaine du cycle de vie du navire, des compétences de recherche et développement et de gestion de projets. ","Bac+5","Bac+6","1.0","60.0","https://www.ec-nantes.fr/masteres-specialises/mastere-specialise-analyse-du-cycle-de-vie-du-navire-life-cycle-assessment-of-ship-licas--239719.kjsp?RH=1488464866316","Improbable","Non","Fondamentaux de la gestion de projet et outils d'organisation de projet","","Obligatoire","2.0","18.0","","","Initiale ou continue","1.0"
"Ecole_ingénieurs","Centrale Nantes","Mastère spécialisé Analyse du cycle de vie du navire/ Life Cycle Assessment of Ship (LICAS)","Sciences, Technologie, Santé","Sciences de l'ingénieur","Porté par Centrale Nantes, l'Ecole Navale et l’Ecole Nationale Supérieure Maritime, ce diplôme s'adresse à des étudiants  qui souhaitent acquérir une expertise, une double compétence ou souhaitant approfondir un domaine dans une perspective d’évolution de carrière. 
Le Mastère Spécialisé «Life Cycle Assessment of Ship (LICAS)» a pour objectif de former à la fois des experts possédant, dans le domaine du cycle de vie du navire, des compétences de recherche et développement et de gestion de projets. ","Bac+5","Bac+6","1.0","60.0","https://www.ec-nantes.fr/masteres-specialises/mastere-specialise-analyse-du-cycle-de-vie-du-navire-life-cycle-assessment-of-ship-licas--239719.kjsp?RH=1488464866317","Non indiqué","Non indiqué","Mise en application","","Obligatoire","6.0","72.0","","","Initiale ou continue","1.0"
"Ecole_ingénieurs","Centrale Nantes","Mastère spécialisé Analyse du cycle de vie du navire/ Life Cycle Assessment of Ship (LICAS)","Sciences, Technologie, Santé","Sciences de l'ingénieur","Porté par Centrale Nantes, l'Ecole Navale et l’Ecole Nationale Supérieure Maritime, ce diplôme s'adresse à des étudiants  qui souhaitent acquérir une expertise, une double compétence ou souhaitant approfondir un domaine dans une perspective d’évolution de carrière. 
Le Mastère Spécialisé «Life Cycle Assessment of Ship (LICAS)» a pour objectif de former à la fois des experts possédant, dans le domaine du cycle de vie du navire, des compétences de recherche et développement et de gestion de projets. ","Bac+5","Bac+6","1.0","60.0","https://www.ec-nantes.fr/masteres-specialises/mastere-specialise-analyse-du-cycle-de-vie-du-navire-life-cycle-assessment-of-ship-licas--239719.kjsp?RH=1488464866318","Non indiqué","Non indiqué","Formation pratique en entreprise","","Obligatoire","15.0","6 mois","Soutenance d'une thèse professionnelle","","Initiale ou continue","1.0"
"","","","","","","","","","","","","","","","","","","","","Initiale ou continue","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
