"","ETABLISSEMENT","","","","","FORMATION","","","","","","","UNITE DE VALEUR (COURS)","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Comptabilité"
"Ecole_commerce","Ecole de Management de Lyon","MSc in International Hospitality Management","Droit, Economie, Gestion","Gestion","Formation spécialisée dans le management de l’hôtellerie, de la restauration et des arts culinaires","Bac+4","Bac+5","1.0","60.0","http://masters.em-lyon.com/fr/MSc-in-International-Hospitality-Management","Oui","Improbable","Corporate Social Responsability","Non-indiqué","Obligatoire","Non-indiqué","Non-indiqué","Non-indiqué","Cours en ligne, indiqué comme obligatoire pour tous les étudiants d'EM Lyon (http://graduate.em-lyon.com/en/MSc-in-International-Hospitality-Management/program/Hospitality-Courses)","1.0"
"Ecole_commerce","Ecole de Management de Lyon","MSc in International Hospitality Management","Droit, Economie, Gestion","Gestion","Formation spécialisée dans le management de l’hôtellerie, de la restauration et des arts culinaires","Bac+4","Bac+5","1.0","60.0","http://masters.em-lyon.com/fr/MSc-in-International-Hospitality-Management","Oui","Improbable","Environmentalism & Ecotourism","Non-indiqué","Obligatoire","Non-indiqué","Non-indiqué","Non-indiqué","Pas de détails sur le contenu du cours","1.0"
"Ecole_commerce","Ecole de Management de Lyon","MSc in Luxury Management & Marketing ","Droit, Economie, Gestion","Gestion","Formation spécialisée dans le management et le marketing de l'industrie du luxe","Bac+4","Bac+5","1.0","60.0","http://masters.em-lyon.com/fr/MSc-in-Luxury-Management-Marketing","Oui","Improbable","Sustainable business models","Non-indiqué","Optionnel","Non-indiqué","Non-indiqué","Non-indiqué","Pas de détails sur le contenu du cours","1.0"
"Ecole_commerce","Ecole de Management de Lyon","MSc in Sports Industry Management","Droit, Economie, Gestion","Gestion","Formation spécialisée dans le management de l'industrie du Sport","Bac+4","Bac+5","1.0","60.0","http://masters.em-lyon.com/fr/MSc-in-Sports-Industry-Management","Oui","Improbable","Environmental issues & social responsibility","Non-indiqué","Obligatoire","Non-indiqué","Non-indiqué","Non-indiqué","Pas de détails sur le contenu du cours","1.0"
"Ecole_commerce","Ecole de Management de Lyon","Programme Grande École","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+2","Bac+5","3.0","180.0","http://masters.em-lyon.com/fr/programme-grande-ecole-esc-annee-pre-msc","Oui","Improbable","Corporate sustainable development","Non-indiqué","Optionnel","Non-indiqué","Non-indiqué","Non-indiqué","Tous les enseignements relatifs aux thématiques energie-climat sont optionnels, un étudiant qui n'est donc pas préalablement intéréssé par le sujet n'y sera pas sensibilisé. En revanche, chaque thématique d'enseignement (conseil, management, finance etc.) est proposé sous un angle dit ""environnemental"", intégration du sujet comme enjeux global. TBN : Aucune indication sur le contenu des cours","1.0"
"Ecole_commerce","Ecole de Management de Lyon","Programme Grande École","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+2","Bac+5","3.0","180.0","http://masters.em-lyon.com/fr/programme-grande-ecole-esc-annee-pre-msc","Oui","Improbable","Dimensions juridiques de la RSE","Non-indiqué","Optionnel","Non-indiqué","Non-indiqué","Non-indiqué","Tous les enseignements relatifs aux thématiques energie-climat sont optionnels, un étudiant qui n'est donc pas préalablement intéréssé par le sujet n'y sera pas sensibilisé. En revanche, chaque thématique d'enseignement (conseil, management, finance etc.) est proposé sous un angle dit ""environnemental"", intégration du sujet comme enjeux global. TBN : Aucune indication sur le contenu des cours","1.0"
"Ecole_commerce","Ecole de Management de Lyon","Programme Grande École","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+2","Bac+5","3.0","180.0","http://masters.em-lyon.com/fr/programme-grande-ecole-esc-annee-pre-msc","Oui","Improbable","Management des ressources environnementales : Recueil des données qualitatives","Non-indiqué","Optionnel","Non-indiqué","Non-indiqué","Non-indiqué","Tous les enseignements relatifs aux thématiques energie-climat sont optionnels, un étudiant qui n'est donc pas préalablement intéréssé par le sujet n'y sera pas sensibilisé. En revanche, chaque thématique d'enseignement (conseil, management, finance etc.) est proposé sous un angle dit ""environnemental"", intégration du sujet comme enjeux global. TBN : Aucune indication sur le contenu des cours","1.0"
"Ecole_commerce","Ecole de Management de Lyon","Programme Grande École","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+2","Bac+5","3.0","180.0","http://masters.em-lyon.com/fr/programme-grande-ecole-esc-annee-pre-msc","Oui","Improbable","Sustainability reporting","Non-indiqué","Optionnel","Non-indiqué","Non-indiqué","Non-indiqué","Tous les enseignements relatifs aux thématiques energie-climat sont optionnels, un étudiant qui n'est donc pas préalablement intéréssé par le sujet n'y sera pas sensibilisé. En revanche, chaque thématique d'enseignement (conseil, management, finance etc.) est proposé sous un angle dit ""environnemental"", intégration du sujet comme enjeux global. TBN : Aucune indication sur le contenu des cours","1.0"
"Ecole_commerce","Ecole de Management de Lyon","Programme Grande École","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+2","Bac+5","3.0","180.0","http://masters.em-lyon.com/fr/programme-grande-ecole-esc-annee-pre-msc","Oui","Improbable","Systems thinking and sustainability","Non-indiqué","Optionnel","Non-indiqué","Non-indiqué","Non-indiqué","Tous les enseignements relatifs aux thématiques energie-climat sont optionnels, un étudiant qui n'est donc pas préalablement intéréssé par le sujet n'y sera pas sensibilisé. En revanche, chaque thématique d'enseignement (conseil, management, finance etc.) est proposé sous un angle dit ""environnemental"", intégration du sujet comme enjeux global. TBN : Aucune indication sur le contenu des cours","1.0"
"Ecole_commerce","Ecole de Management de Lyon","Programme Grande École","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+2","Bac+5","3.0","180.0","http://masters.em-lyon.com/fr/programme-grande-ecole-esc-annee-pre-msc ","Improbable","Improbable","Management de l'environnement","Non-indiqué","Optionnel","Non-indiqué","Non-indiqué","Non-indiqué","Tous les enseignements relatifs aux thématiques energie-climat sont optionnels, un étudiant qui n'est donc pas préalablement intéréssé par le sujet n'y sera pas sensibilisé. En revanche, chaque thématique d'enseignement (conseil, management, finance etc.) est proposé sous un angle dit ""environnemental"", intégration du sujet comme enjeux global. TBN : Aucune indication sur le contenu des cours","1.0"
