"","ETABLISSEMENT","","","","","FORMATION","","","","","","","UNITE DE VALEUR (COURS)","","","","","","",""
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur","Sciences, Technologie, Santé","Aérospatial","Modules électifs de 2eme année","Bac+3","Bac+4","0.5","Non indiqué","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_2a_2017-18-3.pdf","Oui","Oui","Météo et océanographie","Météorologie - physique de l'atmosphère ; océanographie ; étude des glaces continentales.","Optionnel","2.0","30.0","Non indiqué","Le cours est optionnel et est l'un des 49 cours electifs sachant qu'un étudiant doit choisir seulement 3 ou 4 (TBC) cours electifs pour valider son année. Il n'est pas indiqué si les enjeux environnementaux sont abordés mais les techniques permettant de mesurer les effets du réchauffement climatiques sont ici développées dans le cadre de la météorologie.","1.0"
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur","Sciences, Technologie, Santé","Aérospatial","Modules électifs de 2eme année","Bac+3","Bac+4","0.5","Non indiqué","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_2a_2017-18-3.pdf","Oui","Oui","Dans la peau d'un ingénieur en optimisation","Planification journalière de la production électrique française.","Optionnel","2.0","30.0","Non indiqué","Le cours est optionnel et est l'un des 49 cours electifs sachant qu'un étudiant doit choisir seulement 3 ou 4 (TBC) cours electifs pour valider son année. Ce module est intéressant car il développe le rôle de l'ingénieur d'optimisation dans le cadre de la gestion d'énergie.","1.0"
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur - Conception et opérations des aéronefs","Sciences, Technologie, Santé","Aérospatial","Tronc commun de la formation durant la 3eme année","Bac+4","Bac+5","0.5","11.0","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_3a_2017-18-3.pdf","Non","Non","","","","","","","","1.0"
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur - Conception et opérations des aéronefs","Sciences, Technologie, Santé","Aérospatial","Specialisation de la 3eme année","Bac+4","Bac+5","0.5","Non indiqué","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_3a_2017-18-3.pdf","Oui","Oui","Avion plus éléctriques","Avions hybrides","Optionnel","3.0","50.0","BE (bureau d'études) et examen","Ce cours permet aux étudiants qui souhaitent se spécialiser dans la conception des avions de réfléchir sur la manière de concevoir des avions hybrides. Il est judicieusement placé dans le cursus.",""
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur - Conception et opérations des aéronefs","Sciences, Technologie, Santé","Aérospatial","Specialisation de la 3eme année","Bac+4","Bac+5","0.5","9.0","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_3a_2017-18-3.pdf","Non indiqué","Non indiqué","Propulsion aéronautique","Enjeux des prochaines décennies dans la propulsion aéronautique","Optionnel","3.0","50.0","BE (bureau d'études) et examen","Ce cours n'aborde les enjeux environnementaux que de manière superficielle mais est couplé avec le cours « avion plus électrique » (ligne précédente).","1.0"
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur - Modélisation de systèmes complexes et Simulation","Sciences, Technologie, Santé","Aérospatial","Specialisation de la 3eme année","Bac+4","Bac+5","0.5","9.0","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_3a_2017-18-3.pdf","Non","Non","","","","","","","","1.0"
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur - Systèmes autonomes : Robots, drônes et missiles","Sciences, Technologie, Santé","Aérospatial","Specialisation de la 3eme année","Bac+4","Bac+5","0.5","9.0","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_3a_2017-18-3.pdf","Non","Non","","","","","","","",""
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur - Conception et opérations des systèmes spatiaux","Sciences, Technologie, Santé","Aérospatial","Specialisation de la 3eme année","Bac+4","Bac+5","0.5","9.0","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_3a_2017-18-3.pdf","Non","Non","","","","","","","",""
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur - Energie, Transport et Environnement","Sciences, Technologie, Santé","Aérospatial","Specialisation de la 3eme année","Bac+4","Bac+5","0.5","9.0","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_3a_2017-18-3.pdf","Oui","Oui","Energie et climat","Enjeux majeurs liés au défi énergétique ; impact des principaux secteurs d’activité sur l’environnement ; comment ces contraintes (e. g. augmenter le prix de l’énergie) peuvent devenir source d’innovation ; cadre dans lequel les contraintes s’appliquent (économie, réglementation, droit) ; rôle des politiques publiques.","Optionnel","2.0","27.0","Test ; jeu de rôle.","Pendant 1 semestre de la 3e année il est possible de se spécialiser dans le domaine « énergie, transport et environnement ». Ce cours est obligatoire dans le domaine qui compte au total 9 ECTS.",""
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur - Energie, Transport et Environnement","Sciences, Technologie, Santé","Aérospatial","Specialisation de la 3eme année","Bac+4","Bac+5","0.5","9.0","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_3a_2017-18-3.pdf","Oui","Oui","Economie et énergie","Méthodologie de l’Analyse de Cycle de vie et du Bilan Carbone ; reductions de l’impact environnemental d’un processus ou d’une activité","Optionnel","2.0","30.0","BE (bureau d'études), présentation orale en équipes.","Pendant 1 semestre de la 3e année il est possible de se spécialiser dans le domaine « énergie, transport et environnement ». Ce cours est obligatoire dans le domaine qui compte au total 9 ECTS.","1.0"
