"","ETABLISSEMENT","FORMATION","","","","","","","","","UNITE DE VALEUR (COURS)","","","","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Formation initiale ou continue","Comptabilité"
"Ecole_ingénieurs","Centrale Nantes","Programme Grande Ecole","Sciences, Technologie, Santé","Sciences de l'ingénieur","Cursus ingénieur en 3 ans","Bac +2","Bac +5","3.0","180.0","https://www.ec-nantes.fr/ingenieur-generaliste/les-programmes/","Oui","Oui","Energétique","Thermodynamique à l'équilibre : principes de la thermodynamique, thermodynamique analytique (équation d'état, fonctions thermodynamiques), propriétés thermodynamiques de la matière (description, gaz parfait), transformations énergétiques (isobare, isotherme, ...), systèmes diphasés, machines thermiques","Optionnel","4.0","36.0","Projet par binôme et partiel de 2h","Le cours est donné sur la base physique et théorique de la thermodynamique mais des parenthèses lors du cours sont régulières pour parler du sujet en lien avec les enjeux environnementaux.","Formation initiale","1.0"
"Ecole_ingénieurs","Centrale Nantes","Programme Grande Ecole","Sciences, Technologie, Santé","Sciences de l'ingénieur","Cursus ingénieur en 3 ans","Bac +2","Bac +5","3.0","180.0","https://www.ec-nantes.fr/ingenieur-generaliste/les-programmes/","Oui","Oui","Ville, climat et sociétés : les liaisons dangereuses","Changements climatiques, vulnérabilité, adaptation, îlot de chaleur urbain, micro-climat urbain, approches interdisciplinaires","Optionnel","0,5","16.0","","","Formation initiale","1.0"
"Ecole_ingénieurs","Centrale Nantes","Programme Grande Ecole","Sciences, Technologie, Santé","Sciences de l'ingénieur","Cursus ingénieur en 3 ans","Bac +2","Bac +5","3.0","180.0","https://www.ec-nantes.fr/ingenieur-generaliste/les-programmes/","Oui","Non indiqué","Stage & Engagement Citoyen","","Obligatoire","3.0","","","","Formation initiale","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
