"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Oui","Non indiqué","ingénierie et santé : homme, bioproduits, environnement","Fonctionnement des écosystèmes, Ressources biologiques, Urbanisme durable, Agriculture","Obligatoire","non-indiqué ","non-indiqué ","non-indiqué ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Oui","Oui","Domaine 1 -Productions, filières, territoires pour le développement durable - UC secteur végétal et milieu"," Physiologie végétale 12 h
- Interactions plantes-bioagresseurs 6 h
- Epidémiologie et protection des cultures 12 h
- Génétique et amélioration des plantes (sélection variétale) 12 h
- Agronomie – Agroécologie : caractérisation du champ cultivé 12 h
- Agronomie – Agroécologie : conception et évaluation de systèmes de culture 12 h
- Pratiques agricoles et services écosystémiques 6 h","Optionnel","non-indiqué ","72.0","TD + Exposés + Partiel","Questions environnementales/énérgétiques/ éthiques pas du tout abordées en physiologie végétale. Parties agronomie - Agroécologie plus complètes de ce point de vue (question environnementale toujours présente, et prise en compte de la dimension énérgétique dans l'évaluation des systèmes de culture, des pratiques agricoles plus extensives sont évoquées)","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Oui","Oui ","Domaine 1 -Productions, filières, territoires pour le développement durable - UC secteur animal"," - Élaboration des constituants des denrées animales (12 h)
- Sélection et gestion des populations animales (12 h)
 - Maîtrise de la qualité sanitaire (12 h)
- Maîtrise de la qualité nutritionnelle, technologique et organoleptique (12 h)
- Productions animales et environnement (12h)
-  Approches économiques et sociales des productions et des filières animales (12h)","Optionnel","non-indiqué ","72.0","TD ","Partie assez technique, mais qui aborde les questions de bien-être animal et d'impact environnemental. Les enjeux de la consommation mondial de viande et de son cout énergétique sont bien développés.","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Oui","Non","Domaine 1 -Productions, filières, territoires pour le développement durable - UC sciences économiques et sociales"," - Les relations verticales au sein des filières
- La qualité dans la chaine alimentaire
- L’équité dans la distribution des produits alimentaires non transformés auprès des consommateurs français (GMS, circuits courts, commerce équitable)
- Agriculteurs et collecteurs devant la gestion du risque-prix
- Initiation à l’analyse de l’action publique (quelle ""gouvernance mondiale"" ?)
- Agriculteurs, forestiers et société : quelle co-action territoriale"" ","Optionnel","non-indiqué ","15.0","TD + Exposés + Partiel","Question sociétales et environnementales abordées mais sans évoquer la transition énergétique.","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Oui","Oui","Domaine 1 -Productions, filières, territoires pour le développement durable - UC Intégration"," - Diversité des systèmes de production
 - Évaluation des performances des systèmes de production selon les trois dimensions du développement durable (bilan carbone, bilan biodiversité , critères de performance, durabilité des processus de production …","Optionnel","non-indiqué ","15.0","non-indiqué ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Oui","Non","Domaine 2 - Ingénierie des aliments, biomolécules et énergie - UC Sciences des aliments et bioproduits","Chimie, alimentaire, nutrition, qualité","Optionnel","non-indiqué ","36.0","Oral individuel","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Oui","Non","Domaine 2 - Ingénierie des aliments, biomolécules et énergie - UC Génie industriel des aliments & bioproduits"," génie des procédés, agro-industrie","Optionnel","non-indiqué ","31.5","Exercices en TD et partiel + rendu de compte-rendu.","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Oui","Non","Domaine 2 - Ingénierie des aliments, biomolécules et énergie - UC Transformations microbiennes au service des bio-industries","transformations et procédés microbiens, applications alimentaires et chimie verte","Optionnel","non-indiqué ","22.5","Compte-rendu de TP + oral en groupe (réalisation d'un poster)","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Oui","Non","Domaine 2 - Ingénierie des aliments, biomolécules et énergie - UC Secteur et fonctionnement des entreprises","agroalimentaire,  gestion de production et management de ressources, marketing..","Optionnel","non-indiqué ","22.5","Exposés en groupe (sur un secteur agroalimentaire) + partiel","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Non","Non","Domaine 2 - Ingénierie des aliments, biomolécules et énergie - UC Ingénerie de la qualité","ingénerie Qualité agro alimentaire","Optionnel","non-indiqué ","22.5","Exposés + partiel","","1.0"
