"","ETABLISSEMENT","","","","","FORMATION","","","","","","","UNITE DE VALEUR (COURS)","","","","","","","",""
"Ecole_commerce","ESCP Europe","Executive Master in
Energy Management","Droit, Economie, Gestion","Gestion","Formation de cadres qui sont déjà en poste sur les sujets énergétiques","Bac+5","Bac+6","1.0","Non-indiqué","http://www.escpeurope.eu/programmes/executive-masters/Executive-Master-in-Energy-Management","Oui","Oui","Environmental Management ","In an industry where technological breakthroughs are expected to provide answers to the many challenges companies are facing, the capacity to innovate and to adopt new technologies is a major source of value creation and a key strategic advantage. Developing an innovation culture within the organisation, transforming ideas into business projects, assessing the return on R&D expenditures and defining priorities are some of the many questions to be discussed during this course, with illustrations taken from the energy industry","Obligatoire ","Non-indiqué","12.0","Non-indiqué","","Formation continue","1.0"
"Ecole_commerce","ESCP Europe","Executive Master in
Energy Management","Droit, Economie, Gestion","Gestion","Formation de cadres qui sont déjà en poste sur les sujets énergétiques","Bac+5","Bac+6","2.0","Non-indiqué","http://www.escpeurope.eu/programmes/executive-masters/Executive-Master-in-Energy-Management","Oui","Oui","Electricity and renewables","This course comprises a series of sessions on the supply side: electricity production, transport and distribution, an analysis of the various possible market designs, and a discussion on the ongoing deregulation trend in the industry. The characteristics of each technology will be specified, including conventional technologies (gas, coal or oil), nuclear and renewable sources. For a complete understanding of market trends and price movements, short- and long-term factors affecting demand will also be presented. A discussion will also take place on the consequences of a higher proportion of intermittent renewable energy sources.","Obligatoire","Non-indiqué","36.0","Non-indiqué","","","1.0"
"Ecole_commerce","ESCP Europe","Executive Master in
Energy Management","Droit, Economie, Gestion","Gestion","Formation de cadres qui sont déjà en poste sur les sujets énergétiques","Bac+5","Bac+6","3.0","Non-indiqué","http://www.escpeurope.eu/programmes/executive-masters/Executive-Master-in-Energy-Management","Oui","Oui","Energy policy","Energy security, affordability, sustainability and energy efficiency are high on the agenda of policy makers considering the growing global energy needs, the environmental challenge, and the political dimension of energy prices. The objective of this course, structured around a series of country case studies, is to provide an overview of the various existing situations and the respective policies chosen by national decision makers. Questions such as: how to enhance competition while large historical players dominate the market; which technologies deserve subsidies; how to use taxation; and how to promote energy efficiency will all be addressed.","Obligatoire","Non-indiqué","24.0","Non-indiqué","","","1.0"
"Ecole_commerce","ESCP Europe","Executive Master in
Energy Management","Droit, Economie, Gestion","Gestion","Formation de cadres qui sont déjà en poste sur les sujets énergétiques","Bac+5","Bac+6","4.0","Non-indiqué","http://www.escpeurope.eu/programmes/executive-masters/Executive-Master-in-Energy-Management","Oui","Oui","Energy Risk management","Considering the increased complexity of energy projects as companies enter a new technological era (marking the end of “easy oil”), there is a growing concern about the real preparedness of companies to deal with the new risks they are facing. The potential severity of those risks due to the important damages caused to the environment and their possible impact on populations explain this apprehension. Furthermore, the mishandling of recent catastrophes by large energy companies now cast serious doubts as to their ability to prevent severe accidents from occurring and, if they do, to control their development. The objective of this course is to provide participants with a practical and theoretical approach to risk management, with a critical view, so that they can actively participate in the design and implementation of a risk management plan.
","Obligatoire","Non-indiqué","24.0","Non-indiqué","","","1.0"
"Ecole_commerce","ESCP Europe","Executive Mastère Spécialisé
Ingénierie financière et fiscale","Droit, Economie, Gestion","Gestion","Formation de cadres qui sont déjà en poste sur les sujets d'inginiérie financière","Bac+5","Bac+6","1.0","Non-indiqué","http://www.escpeurope.eu/fr/programmes/executive-masters/Executive-Mastere-specialise-ingenierie-financiere-et-fiscale","Non","Non","","","","","","","Selon les informations disponibles en ligne, il n'y a pas de module dédié aux enjeux environnementaux dans cette formation. ","Formation continue","1.0"
"Ecole_commerce","ESCP Europe","Executive Master in
International Business","Droit, Economie, Gestion","Gestion","Formation de cadres qui sont déjà en poste sur les sujets d'international business","Bac+5","Bac+6","1.0","60.0","http://www.escpeurope.eu/fr/programmes/executive-masters/Executive-Master-in-international-business","Non","Non","","","","","","","Selon les informations disponibles en ligne, il n'y a pas de module dédié aux enjeux environnementaux dans cette formation. ","Formation continue","1.0"
"Ecole_commerce","ESCP Europe","Executive Mastère Spécialisé International Wealth Management","Droit, Economie, Gestion","Gestion","Formation de cadres qui sont déjà en poste sur les sujets de gestion du patrimoine","Bac+5","Bac+6","1.0","Non-indiqué","http://www.escpeurope.eu/programmes/executive-masters/executive-mastere-specialise-international-wealth-management","Non","Non","","","","","","","Selon les informations disponibles en ligne, il n'y a pas de module dédié aux enjeux environnementaux dans cette formation. ","Formation continue","1.0"
"Ecole_commerce","ESCP Europe","Management médical gestion hospitalière","Droit, Economie, Gestion","Gestion","Formation de cadres qui sont déjà en poste sur les sujets de management d'organisations de santé","Bac+5","Bac+6","1.0","Non-indiqué","http://www.escpeurope.eu/programmes/executive-masters/executive-mastere-specialise-management-medical-gestion-hospitaliere","Non","Non","","","","","","","Selon les informations disponibles en ligne, il n'y a pas de module dédié aux enjeux environnementaux dans cette formation. ","Formation continue","1.0"
"Ecole_commerce","ESCP Europe","Executive Mastère Spécialisé
Manager des organisations à risques","Droit, Economie, Gestion","Gestion","Formation de cadres qui sont déjà en poste sur les sujets de management des organisations à risques","Bac+5","Bac+6","2.0","Non-indiqué","http://www.escpeurope.eu/programmes/executive-masters/executive-mastere-specialise-manager-des-organisations-a-risques","Oui","Non indiqué","Responsabilité sociétale et environnementale","Non-indiqué","Non-indiqué","Non-indiqué","Non-indiqué","Non-indiqué","Il existe un séminaire au sein du module 3 renforcer la culture de sécurité (L'un des 3 thèmes d'un séminaire de 3 jours)","Formation continue","1.0"
"Ecole_commerce","ESCP Europe","Executive Master
Manager Dirigeant","Droit, Economie, Gestion","Gestion","Formation professionnelle destinée à préparer les cadres à devenir dirigeant d'entreprise","Bac+5","Bac+6","1.0","Non-indiqué","http://www.escpeurope.eu/programmes/executive-masters/executive-master-manager-dirigeant","Non","Non","","","","","","","Selon les informations disponibles en ligne, il n'y a pas de module dédié aux enjeux environnementaux dans cette formation. ","Formation continue","1.0"
"Ecole_commerce","ESCP Europe","General Management Programme","Droit, Economie, Gestion","Gestion","Formation généraliste sur le management d'entreprise","Bac+5","Bac+6","2.0","Non-indiqué","http://www.escpeurope.eu/programmes/open-programmes/general-management-programme","Non","Non","","","","","","","Selon les informations disponibles en ligne, il n'y a pas de module dédié aux enjeux environnementaux dans cette formation. ","Formation continue","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
