"","ETABLISSEMENT","","","","","FORMATION","","","","","","","UNITE DE VALEUR (COURS)","","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Formation initiale ou continue","Comptabilité"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Cycle Ingénieur ","Sciences, Technologie, Santé","Ingénieur généraliste","Formation d'ingénieur des Mines de Paris accessible après les concours des grandes écoles.","Bac+2","Bac+5","3.0","180.0","http://www.mines-paristech.fr/Donnees/data30/3010-Guide-CIC-2017_2018.pdf","Oui","Non","Hydrogéologie","Modélisation du cycle de l'eau pour la prévention de la pollution et des risques associés. ","Optionnel","2.0","30.0","Contrôle de connaissance pour un binôme. Et rapport de type bureau d'étude","Donne les compétences techniques pour prévenir et étudier la pollution des cours d'eau. ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Cycle Ingénieur ","Sciences, Technologie, Santé","Ingénieur généraliste","Formation d'ingénieur des Mines de Paris accessible après les concours des grandes écoles.","Bac+2","Bac+5","3.0","180.0","http://www.mines-paristech.fr/Donnees/data30/3010-Guide-CIC-2017_2018.pdf","Oui","Non indiqué","Valeur de l’eau
","Raréfaction de l'eau, monétarisation de l'eau","Optionnel","2.0","30.0","Non indiqué","Cours centré sur la gestion de nos ressources en eau. Ce sujet semble être abordé selon de nombreux axes. ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Cycle Ingénieur ","Sciences, Technologie, Santé","Ingénieur généraliste","Formation d'ingénieur des Mines de Paris accessible après les concours des grandes écoles.","Bac+2","Bac+5","3.0","180.0","http://www.mines-paristech.fr/Donnees/data30/3010-Guide-CIC-2017_2018.pdf","Oui","Oui","Economie de l'environnement","Introduction des contraintes environnementales dans le domaine de l'économie.  Evaluation financière des dommages environnementaux - En quoi le marché carbone est utile pour lutter contre le réchauffement climatique ? ","Optionnel","2.0","20.0","Contrôle de connaissance puis exercice type à l'écrit","Le cours semble aborder les problèmes environnementaux et climat par le biais de l'économie.  ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Cycle Ingénieur ","Sciences, Technologie, Santé","Ingénieur généraliste","Formation d'ingénieur des Mines de Paris accessible après les concours des grandes écoles.","Bac+2","Bac+5","3.0","180.0","http://www.mines-paristech.fr/Donnees/data30/3010-Guide-CIC-2017_2018.pdf","Oui","Oui","Economie des matières premières","Réflexion économique sur la gestion de nos ressources à stock. Responsabilité intergénérationnelle - Evolution des prix, marché des matières premières. ","Optionnel","1.0","12.0","Examen par questions de cours très brèves","Aborde la gestion long terme de nos ressources non renouvelables, en particulier le pétrole. ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Cycle Ingénieur ","Sciences, Technologie, Santé","Ingénieur généraliste","Formation d'ingénieur des Mines de Paris accessible après les concours des grandes écoles.","Bac+2","Bac+5","3.0","180.0","http://www.mines-paristech.fr/Donnees/data30/3010-Guide-CIC-2017_2018.pdf","Oui","Non indiqué","Éthique des multinationales - responsabilité dans les relation nord-sud","Comprendre l'influence des multinationales sur les relations nord sud. L'éthique dans les activités économiques. Aborde la responsabilité environnementale des entreprises","Optionnel","1.0","12.0","Rapports et soutenances","Le cours aborde les questions environnementales entre autres problèmes éthiques.","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Cycle Ingénieur ","Sciences, Technologie, Santé","Ingénieur généraliste","Formation d'ingénieur des Mines de Paris accessible après les concours des grandes écoles.","Bac+2","Bac+5","3.0","180.0","http://www.mines-paristech.fr/Donnees/data30/3010-Guide-CIC-2017_2018.pdf","Improbable","Oui","Procédés et Energie","Option est centrée sur les enjeux de la transition énergétique pour les industries du secteur. L'option s'intéresse aux technologies permettant d'extraire l'énergie des sources fossiles et des technologies de stockages. Approche technologique et économique. ","Optionnel","41.0","266.0","Rapports et soutenances","L'option s'intéresse aux développements technologiques et économiques des machines du secteur énergétique. La question climatique est sûrement abordée au vu de son importance dans l'évolution future du secteur. ""L’option « Procédés & Energie » accueille les élèves qui veulent comprendre comment, pour rester compétitives, les industries du secteur de l'énergie adaptent leurs procédés à leurs ressources fossiles, radioactives, renouvelables ou recyclées, et fournissent électricité, vapeur, hydrogène, gaz, essences.""","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Cycle Ingénieur ","Sciences, Technologie, Santé","Ingénieur généraliste","Formation d'ingénieur des Mines de Paris accessible après les concours des grandes écoles.","Bac+2","Bac+5","3.0","180.0","http://www.mines-paristech.fr/Donnees/data30/3010-Guide-CIC-2017_2018.pdf","Oui","Oui","Géoscience","Interaction entre systèmes naturels et activités humaines. La gestion des déchets (carbone et radioactif entre autre), gestion des ressources  en eau, problématique liée à la gestion des déchets lors de l'exploitation des sols…","Optionnel","41.0","266.0","Rapports et soutenances","Cette option forme des ingénieurs prenant en compte l'impact écologique des activités humaines, prévenant les conséquences et pouvant influencer les choix par une approche scientifique. Des compétences absolument nécessaires dans le cadre d'une plus grande prise en compte de notre impact environnemental.","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Cycle Ingénieur ","Sciences, Technologie, Santé","Ingénieur généraliste","Formation d'ingénieur des Mines de Paris accessible après les concours des grandes écoles.","Bac+2","Bac+5","3.0","180.0","http://www.mines-paristech.fr/Donnees/data30/3010-Guide-CIC-2017_2018.pdf","Improbable","Oui","Géostatistique et probabilités appliquées","Statistiques et calculs probabilistes pour l'étude des sciences de la terre. L'option donne des compétences mathématiques en l'appliquant aux sujets suivants : Prospection pétrolière, étude océanique, changement climatique.   ","Optionnel","41.0","266.0","Rapports et soutenances","La formation est avant tout centrée sur des compétences mathématiques. Cependant, les sciences de la terre sont abordées dans les cas d'études. On imagine que cela peut permettre d'accroître la sensibilité des élèves.","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Cycle Ingénieur ","Sciences, Technologie, Santé","Ingénieur généraliste","Formation d'ingénieur des Mines de Paris accessible après les concours des grandes écoles.","Bac+2","Bac+5","3.0","180.0","http://www.mines-paristech.fr/Donnees/data30/3010-Guide-CIC-2017_2018.pdf","Oui","Oui","Machine et énergie","Étudie la chaîne énergétique en particulier dans l'optique d'une plus grande pénétration d'énergie renouvelable. Gestion de la flexibilité sur le réseau électrique, ressource en stockage, power to gaz …","Optionnel","41.0","266.0","Rapports et soutenances","L'option semble s'intéresser  aux développements technologiques des machines du vecteur énergétiques. Notamment dans le cadre des contraintes imposées par la transition énergétique","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Cycle Ingénieur ","Sciences, Technologie, Santé","Ingénieur généraliste","Formation d'ingénieur des Mines de Paris accessible après les concours des grandes écoles.","Bac+2","Bac+5","3.0","180.0","http://www.mines-paristech.fr/Donnees/data30/3010-Guide-CIC-2017_2018.pdf","Oui","Oui","Sol et sous sol","Approche technique de nos ressources dans les sols. Ils étudie aussi le rôle économique des ressources de notre sous sol. L'option aborde la prospection des sols, la gestion des ressources, ou la modélisation  des activités économiques des filières minières. ","Optionnel","41.0","266.0","Rapports et soutenances","L'enseignement semble particulièrement pertinent concernant la limite de nos ressources minières et fossiles. Il semble aborder l'importance des matières premières dans notre économie, avec une vision ingénieur/économiste intéressante.  ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Master PSL - Énergie	
","Sciences, Technologie, Santé","Energie","Master du groupe PSL - Étudie la transformation du secteur de l'énergie dans le cadre d'une réduction des émissions. Le master est destiné à ceux voulant poursuivre en recherche.","Bac+3","Bac+5","2.0","120.0","https://www.psl.eu/formation/master-energie","Oui","Oui","Introduction to Energy
","Economie de l'énergie, les systèmes de production, chaîne de conversion, transport de l'électricité. Les problèmes environnementaux sont aussi évoqués. ","Obligatoire","Non indiqué ","Non indiqué ","Non indiqué ","Cours général sur l'énergie abordé aussi bien du côté technique qu'économique. Les enjeux environnementaux ne semblent pas particulièrement débattus mais ils sont mentionnés. ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Master PSL - Énergie	
","Sciences, Technologie, Santé","Energie","Master du groupe PSL - Étudie la transformation du secteur de l'énergie dans le cadre d'une réduction des émissions. Le master est destiné à ceux voulant poursuivre en recherche.","Bac+3","Bac+5","2.0","120.0","https://www.psl.eu/formation/master-energie","Improbable","Oui","Life Cycle of Energy Systems
","Analyse de cycle de vie, évaluation globale des coûts, émissions GES, énergie grise","Obligatoire","Non indiqué ","Non indiqué ","Non indiqué ","Cours sur le coût énergétique totale d'une réalisation. Cours pertinent pour limiter notre consommation d'énergie à niveau global. ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Master PSL - Énergie	
","Sciences, Technologie, Santé","Energie","Master du groupe PSL - Étudie la transformation du secteur de l'énergie dans le cadre d'une réduction des émissions. Le master est destiné à ceux voulant poursuivre en recherche.","Bac+3","Bac+5","2.0","120.0","https://www.psl.eu/formation/master-energie","Improbable","Oui","Energy Efficiency ","Energie minimale nécessaire, identification des sources d'amélioration. Efficacité énergétique du bâtiment, modèle thermique. Efficacité dans le domaine du transport, électrification des moyens de transport.","Optionnel","10.0","90.0","Non indiqué ","Cours qui parait très pertinent pour aborder l'efficacité énergétique en général et dans deux secteurs clés (transports et bâtiments). Il propose une approche ingénieur prenant en compte la globalité du problème lorsque l'on parle d'efficacité énergétique. Par exemple,  il propose aux élèves d'étudier l'analyse complète de la consommation énérgétique d'un VE en partant de la production des véhicules jusqu'à leur recyclage. ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Master PSL - Énergie	
","Sciences, Technologie, Santé","Energie","Master du groupe PSL - Étudie la transformation du secteur de l'énergie dans le cadre d'une réduction des émissions. Le master est destiné à ceux voulant poursuivre en recherche.","Bac+3","Bac+5","2.0","120.0","https://www.psl.eu/formation/master-energie","Oui","Oui","Decarbonisation of fuel","Extraction des ressources dans le sol, les acteurs et les différentes techniques. Nouveaux carburants : H2 Hydrogène et carburant de synthèse. Connaissances des carburants alternatifs, procédés de fabrication. 
Séquestration du C02 : processus de captation, stockage en sous sol, valorisation du CO2. ","Optionnel","11.0","99.0","Non indiqué ","Cours intéressant pour continuer à subvenir au besoin de notre société en hydrocarbure en cherchant activement des solutions pour limiter  notre impact environnemental. ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Master PSL - Énergie	
","Sciences, Technologie, Santé","Energie","Master du groupe PSL - Étudie la transformation du secteur de l'énergie dans le cadre d'une réduction des émissions. Le master est destiné à ceux voulant poursuivre en recherche.","Bac+3","Bac+5","2.0","120.0","https://www.psl.eu/formation/master-energie","Oui","Oui","Renewable electric energy ","Technologie des énergies météo dépendantes, éolien, solaire,marine . Fonctionnement du réseau électrique, marché, stabilité, impact des énergies renouvelables sur le réseau. ","Optionnel","10.0","90.0","Non indiqué ","Cours technique sur les énergies renouvelables qui semble manquer de contextualisation sur l'intérêt de développer ces énergies.","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Master PSL - Énergie	
","Sciences, Technologie, Santé","Energie","Master du groupe PSL - Étudie la transformation du secteur de l'énergie dans le cadre d'une réduction des émissions. Le master est destiné à ceux voulant poursuivre en recherche.","Bac+3","Bac+5","2.0","120.0","https://www.psl.eu/formation/master-energie","Non indiqué","Non indiqué","Sustainable Energy and materials","Cours sur les technologies souvent citées dans la transition énergétique.
Panneaux photovoltaïques : les technologies et les éléments utilisées, cycle de vie, principe physique. Stockage chimique, technologie de cellule, électrolyseurs, type de batteries, process de fabrication et insertion sur le marché. Autres systèmes de stockage, thermique, mécanique.","Optionnel","10.0","90.0","Non indiqué ","Cours très technique centré sur les systèmes de stockage et leur fonctionnement. Pas d'allusion au problème global induit par le changement climatique.","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Sciences et Génie des matériaux
","Sciences, Technologie, Santé","Matériaux","Master du groupe PSL  - Master spécialisé dans les matériaux. Pour la conception de nouveaux matériaux ou l'amélioration des anciens.","Bac+3","Bac+5","2.0","120.0","https://www.psl.eu/formation/master-sciences-et-genie-des-materiaux","Oui","Oui","Elaborer plus vert et économiser les ressources","Procédé industriel, économie d'énergie dans les procédés industriels, stratégie d'économie des ressources  pour le choix des matériaux","Optionnel","5.0","Non indiqué","Non indiqué ","Cours pertinent pour concevoir des solutions limitant notre consommation de ressources énergétiques et minières.","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Sciences et Génie des matériaux
","Sciences, Technologie, Santé","Matériaux","Master du groupe PSL  - Master spécialisé dans les matériaux. Pour la conception de nouveaux matériaux ou l'amélioration des anciens.","Bac+3","Bac+5","2.0","120.0","https://www.psl.eu/formation/master-sciences-et-genie-des-materiaux","Oui","Oui","De l'éco conception au recyclage","Concevoir un produit pour son recyclage, analyse du cycle de vie.","Optionnel","5.0","Non indiqué","Non indiqué ","Cours pertinent pour concevoir des produits pouvant être recyclés et augmentant la réutilisation de nos ressources.","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Master stratégie énergétique","Sciences, Technologie, Santé","Energie","Master donnant des compétences économiques et techniques permettant aux élèves de comprendre les politiques énergétiques. ","Bac+3","Bac+5","2.0","120.0","http://www.masterenergy.eu/fr/","Oui","Oui","Cycle de vie des systèmes énergétiques
","Analyse de cycle de vie en particulier énergétique, ouverture à la problématique des métaux. Notion de responsabilité vis-à-vis des générations futures.","Obligatoire","2.0","30.0","Non indiqué","Ce cours semble pertinent pour prévenir la réduction de nos réserves énergétiques fossiles. Le cours s'intéresse au coût énergétique d'un produit sur l'ensemble du cycle de vie. L'existence d'un tel cours dans une formation aussi généraliste est très positif. ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Master stratégie énergétique","Sciences, Technologie, Santé","Energie","Master donnant des compétences économiques et techniques permettant aux élèves de comprendre les politiques énergétiques. ","Bac+3","Bac+5","2.0","120.0","http://www.masterenergy.eu/fr/","Oui","Oui","Economie des matières premières","Réflexion économique sur la gestion de nos ressources à stock. Responsabilité intergénérationnelle - évolution des prix marché des matières premières. ","Obligatoire","6.0","60.0","Examen par questions de cours très brèves","Aborde la gestion long terme de nos ressources non renouvelables, en particulier le pétrole. ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Master stratégie énergétique","Sciences, Technologie, Santé","Energie","Master donnant des compétences économiques et techniques permettant aux élèves de comprendre les politiques énergétiques. ","Bac+3","Bac+5","2.0","120.0","http://www.masterenergy.eu/fr/","Non indiqué","Non indiqué","Economie de l'énergie","Non indiqué","Obligatoire","6.0","60.0","Non indiqué","","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Master stratégie énergétique","Sciences, Technologie, Santé","Energie","Master donnant des compétences économiques et techniques permettant aux élèves de comprendre les politiques énergétiques. ","Bac+3","Bac+5","2.0","120.0","http://www.masterenergy.eu/fr/","Oui","Oui","Energies renouvelables raccordées au réseau","Réseau électrique, Energies renouvelables raccordées au réseau, stabilité du réseau.","Obligatoire","3.0","30.0","Non indiqué","Ce cours se concentre sur l'aspect technique du réseau électrique. Il donne des compétences précises sur un objet (les énergies renouvelables) mais ne semble pas questionner l'utilité de cet objet, en le remplaçant dans son contexte. ","","1.0"
