"","ETABLISSEMENT","","","","","FORMATION","","","","","","","UNITE DE VALEUR (COURS)","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation","Avis critique sur le cours et/ou la formation","Comptabilité"
"Autres","CELSA","MASTER PROFESSIONNEL Information et Communication – 1re année -Médias","Droit, Economie, Gestion","Communication","Connaissance approfondie des médias et de la communication numérique","Bac +3","Bac +4","1.0","60.0","http://www.celsa.fr/formation-initiale-medias-master1.php","non","","","","","","","","","1.0"
"Autres","CELSA","MASTER PROFESSIONNEL Information et Communication – 1re année -Ressources humaines et conseil","Droit, Economie, Gestion","Communication","Ressources humaines et communication","Bac +3","Bac +4","1.0","60.0","http://www.celsa.fr/formation-initiale-rh-master1.php","non","","","","","","","","","1.0"
"Autres","CELSA","MASTER PROFESSIONNEL Information et Communication – 1re année – Métiers de professeur documentaliste","Droit, Economie, Gestion","Communication","Métiers de professeur documentaliste","Bac +3","Bac +4","1.0","60.0","http://www.celsa.fr/formation-initiale-professeur-documentaliste-master1.php","non","","","","","","","","","1.0"
"Autres","CELSA","MASTER PROFESSIONNEL Information et Communication – 1re année – Journalisme","Arts, Lettres, Langues","Journalisme","Approfondir une culture générale et s'initier aux différents métiers du journalisme","Bac +3","Bac +4","1.0","60.0","http://www.celsa.fr/formation-initiale-journalisme-master1.php","non","","","","","","","","","1.0"
"Autres","CELSA","MASTER PROFESSIONNEL Information et Communication – 2e année classique – Entreprises, institutions et corporate","Droit, Economie, Gestion","Communication","Conception des stratégies de communication.","Bac +4","Bac +5","1.0","60.0","http://www.celsa.fr/formation-initiale-entreprises-master2-ceoi.php","non","","","","","","","","The Shift Project figure dans la liste d'exemples d'entreprises cités pour le stage. ","1.0"
"Autres","CELSA","MASTER PROFESSIONNEL Information et Communication – 2e année classique – entreprises, institutions et politique","Droit, Economie, Gestion","Communication","Conception des stratégies de communication.","Bac +4","Bac +5","1.0","60.0","http://www.celsa.fr/formation-initiale-entreprises-master2-cpip.php","non","","","","","","","","","1.0"
"Autres","CELSA","MASTER PROFESSIONNEL Information et Communication – 2e année classique – magistère, management et culture","Droit, Economie, Gestion","Communication","former des spécialistes en stratégies de communication en mesure d’intervenir dans les différents champs de la communication","Bac +4","Bac +5","1.0","60.0","http://www.celsa.fr/formation-initiale-magistere-master2.php","improbable","","","","","","","","","1.0"
"Autres","CELSA","MASTER PROFESSIONNEL Information et Communication – 2e année classique – marque et publicité","Droit, Economie, Gestion","Communication","Formation des futurs cadres en publicité et marketing","Bac +4","Bac +5","1.0","60.0","http://www.celsa.fr/formation-initiale-marketing-master2-msc.php","non","","","","","","","","","1.0"
"Autres","CELSA","MASTER PROFESSIONNEL Information et Communication – 2e année classique – marque et branding","Droit, Economie, Gestion","Communication","Formation des futurs cadres en marque et branding","Bac +4","Bac +5","1.0","60.0","http://www.celsa.fr/formation-initiale-marketing-master2-msm.php","non","","","","","","","","","1.0"
"Autres","CELSA","MASTER PROFESSIONNEL Information et Communication – 2e année classique – medias et management","Droit, Economie, Gestion","Communication","Le parcours forme des professionnels des médias et de la communication numérique","Bac +4","Bac +5","1.0","60.0","http://www.celsa.fr/formation-initiale-medias-master2-cmmm.php","non","","","","","","","","","1.0"
"Autres","CELSA","MASTER PROFESSIONNEL Information et Communication – 2e année classique – medias et numérique","Droit, Economie, Gestion","Communication","Le parcours forme des professionnels des médias et de la communication numérique","Bac +4","Bac +5","1.0","60.0","http://www.celsa.fr/formation-initiale-medias-master2-misc.php","non","","","","","","","","","1.0"
"Autres","CELSA","MASTER PROFESSIONNEL Information et Communication – 2e année classique – communication et technologie numérique","Droit, Economie, Gestion","Communication","Master professionnel spécialisé en communication numérique à dominante technique (conception et développement de réalisations multimédias)","Bac +4","Bac +5","1.0","60.0","http://www.celsa.fr/formation-initiale-medias-master2-ctn.php","non","","","","","","","","","1.0"
"Autres","CELSA","MASTER PROFESSIONNEL Information et Communication – 2e année classique – journalisme","Arts, Lettres, Langues","Journalisme","Tout en étant essentiellement orientée vers les pratiques professionnelles, la 2e année apporte une connaissance de l’entreprise de presse et une réflexion sur la déontologie et sur les pratiques du journalisme","Bac +4","Bac +5","1.0","60.0","http://www.celsa.fr/formation-initiale-journalisme-master2.php","oui","non","UE 1 - L'entreprise de presse, le droit, la déontologie (10 crédits - 86h) / C - Ethique et déontologie du journalisme / 1) Ehique du journalisme","Ethique du journalisme (pas plus de précision)","obligatoire","non indiqué","non indiqué","non indiqué","Le cours ne représente qu'une dizaine d'heures: peu de notions auront le temps d'être abordées.","1.0"
"Autres","CELSA","MASTER PROFESSIONNEL Information et Communication – 2e année en apprentissage - Conseil, management et organisations","Droit, Economie, Gestion","Communication","Le parcours a pour objectif de former des consultants dans le domaine du management et de l’accompagnement du changement. Ils exerceront en cabinet généraliste ou dans des cabinets à dominante RH ou communication.","Bac +4","Bac +5","1.0","60.0","http://www.celsa.fr/apprentissage-MCRH.php","non","","","","","","","","","1.0"
"Autres","CELSA","MASTER PROFESSIONNEL Information et Communication – 2e année en apprentissage - Entreprises, institutions et risque","Droit, Economie, Gestion","Communication","Réputation et image des organisations","Bac +4","Bac +5","1.0","60.0","http://www.celsa.fr/apprentissage-ROSC.php","oui","non","UE 1 - Approches théoriques de la communication des organisations (10 crédits - 124h) / A. Approches théoriques de la communication des organisations / 4) Communication des organisations et développement durable","Développement durable","obligatoire","non indiqué","non indiqué","non indiqué","Le cours ne représente qu'une dizaine d'heures: peu de notions auront le temps d'être abordées.","1.0"
"Autres","CELSA","MASTER PROFESSIONNEL Information et Communication – 2e année en apprentissage - Magistère, management et culture","Droit, Economie, Gestion","Communication","Former des spécialistes en stratégies de communication","Bac +4","Bac +5","1.0","60.0","http://www.celsa.fr/apprentissage-MC.php","oui","non","UE 1 - Approches théoriques de la communication (10 crédits - 80h) / A. Théories de l'information et de la communication (30h) / 2)Grands enjeux du débat politique économique et social","Enjeux du débat politique économique et social (sans précisions)","obligatoire","non indiqué","non indiqué","non indiqué","Le cours ne représente qu'une dizaine d'heures: peu de notions auront le temps d'être abordées.","1.0"
"Autres","CELSA","MASTER PROFESSIONNEL Information et Communication – 2e année en apprentissage - Marque, innovation et création","Droit, Economie, Gestion","Communication","Contexte économique et social du marketing et de la publicité, tendances, stratégies de communication","Bac +4","Bac +5","1.0","60.0","http://www.celsa.fr/apprentissage-MPC.php","oui","non","UE 1 - Approches théoriques de la communication des organisations (10 crédits - 88h) / B. Stratégies de communication dans l'environnement économique et social/ 2) Communication et économie sociale et solidaire","Economie sociale et solidaire","obligatoire","non indiqué","non indiqué","non indiqué","Le cours ne représente qu'une dizaine d'heures: peu de notions auront le temps d'être abordées.","1.0"
"Autres","CELSA","MASTER PROFESSIONNEL Information et Communication – 2e année en apprentissage - Médias, innovation et création","Droit, Economie, Gestion","Communication","L’objectif est d’accompagner le développement des innovations dans le champ de la communication et des médias","Bac +4","Bac +5","1.0","60.0","http://www.celsa.fr/apprentissage-I2CM.php","non","","","","","","","","","1.0"
"Université","","MASTER PROFESSIONNEL Information et Communication – 2e année en apprentissage - Ressources humaines, management et organisations","Droit, Economie, Gestion","Communication","L’objectif est de former des professionnels des RH qui évolueront vers des postes à dimension stratégique","Bac +4","Bac +5","1.0","60.0","http://www.celsa.fr/apprentissage-RHC.php","oui","non","UE1– Approches théoriques de la communication des organisations (120h – 10 ECTS) / B. Environnement juridique et sociétal / 2) Responsabilité Sociale des Entreprises : éthique et relations de travail - RSE et RH - Handicap en entreprise - Performance et qualité de vie au travail - Discriminations et promotion de la diversité en situation de travail - Le rôle des RH dans la prévention des risques psychosociaux","Responsabilité sociale des entreprises","obligatoire","non indiqué","non indiqué","non indiqué","Le cours ne représente qu'une dizaine d'heures: peu de notions auront le temps d'être abordées.","1.0"
"Université","","MASTER PROFESSIONNEL Information et Communication – 2e année en apprentissage - Journalisme et innovation","Arts, Lettres, Langues","Journalisme","Transposer les différentes approches précedemment acquises aux médias de l’internet ; s’adapter aux nouveaux formats émergents","Bac +4","Bac +5","1.0","60.0","http://www.celsa.fr/apprentissage-JOUR.php","non","","","","","","","","","1.0"
"Université","","MASTER RECHERCHE en Sciences de l’information et de la communication – Recherche et développement","Arts, Lettres, Langues","Sciences de l’information et de la communication","L’objectif est de former les étudiants aux métiers de la recherche académique et théorique aussi bien qu’à la recherche appliquée, qu’elle soit publique ou privée.","Bac +4","Bac +5","1.0","non indiqué","http://www.celsa.fr/formation-initiale-recherche-master.php","non","","","","","","","","","1.0"
"Université","","MASTER RECHERCHE en Sciences de l’information et de la communication - Recherche et enseignement en sciences de l'information et de la documentation","Arts, Lettres, Langues","Sciences de l’information et de la communication","Métiers de professeur documentaliste","Bac +4","Bac +5","1.0","60.0","http://www.celsa.fr/formation-initiale-professeur-documentaliste-master2.php","non","","","","","","","","","1.0"
"Université","","DOCTORAT en Sciences de l’information et de la communication","Arts, Lettres, Langues","Sciences de l’information et de la communication","Le Doctorat consacre une formation acquise dans la pratique de la recherche. La thèse est destinée à faire progresser la connaissance dans l’axe choisi et à développer la maîtrise de méthodes rigoureuses de raisonnement et d’expérimentation.","Bac +5","non indiqué","non indiqué","non indiqué","http://www.celsa.fr/formation-initiale-recherche-doctorat.php","non","","","","","","","","","1.0"
"Université","","MASTÈRE SPÉCIALISÉ – CELSA Entreprendre","Droit, Economie, Gestion","Entreprendre","Destiné à des personnes porteuses de projets de création d'activités plus ou moins aboutis mais fortement innovants, orientés vers le développement d'une entreprise nouvelle (entreprenariat) ou d'une structure nouvelle dans une entreprise/une organisation existante (intraprenariat).","Bac +5","Bac +6","1.0","75.0","http://www.celsa.fr/formation-continue-mastere-tempspartiel-CELSA-Entreprendre.php","non","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
