"","ETABLISSEMENT","","","","","FORMATION","","","","","","","UNITE DE VALEUR (COURS)","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Comptabilité"
"Autres","ESJ Lille","Master Changement climatique et Médias","Arts, Lettres, Langues","Journalisme","Master 2 à distance destiné aux journalistes et communicants professionnels.  Le master apporte les éléments de methodologie et de contenus scientifiques permettant d'intégrer l'information climatique et environnementale dans le traitement de l'actualité","Bac+4","Bac+5","1.0","60.0","http://esj-lille.fr/formations/master-changement-climatique-medias-a-distance/","Oui","Oui","Le changement climatique, l'énergie et l'économie","Non-indiqué","Obligatoire","Non-indiqué","Non-indiqué","Non-indiqué","Le programme ne donne pas plus de détails sur le contenu du cours. Cependant, la formation aborde de manière complète et approfondie la plupart des éléments de la question du changement climatique.","1.0"
"Autres","ESJ Lille","Master Changement climatique et Médias","Arts, Lettres, Langues","Journalisme","Master 2 à distance destiné aux journalistes et communicants professionnels.  Le master apporte les éléments de methodologie et de contenus scientifiques permettant d'intégrer l'information climatique et environnementale dans le traitement de l'actualité","Bac+4","Bac+5","1.0","60.0","http://esj-lille.fr/formations/master-changement-climatique-medias-a-distance/","Oui","Oui","Le changement climatique et le droit","Non-indiqué","Obligatoire","Non-indiqué","Non-indiqué","Non-indiqué","Le programme ne donne pas plus de détails sur le contenu du cours. Cependant, la formation aborde de manière complète et approfondie la plupart des éléments de la question du changement climatique.","1.0"
"Autres","ESJ Lille","Master Changement climatique et Médias","Arts, Lettres, Langues","Journalisme","Master 2 à distance destiné aux journalistes et communicants professionnels.  Le master apporte les éléments de methodologie et de contenus scientifiques permettant d'intégrer l'information climatique et environnementale dans le traitement de l'actualité","Bac+4","Bac+5","1.0","60.0","http://esj-lille.fr/formations/master-changement-climatique-medias-a-distance/","Oui","Oui","Penser le changement climatique","Non-indiqué","Obligatoire","Non-indiqué","Non-indiqué","Non-indiqué","Le programme ne donne pas plus de détails sur le contenu du cours. Cependant, la formation aborde de manière complète et approfondie la plupart des éléments de la question du changement climatique.","1.0"
"Autres","ESJ Lille","Master Changement climatique et Médias","Arts, Lettres, Langues","Journalisme","Master 2 à distance destiné aux journalistes et communicants professionnels.  Le master apporte les éléments de methodologie et de contenus scientifiques permettant d'intégrer l'information climatique et environnementale dans le traitement de l'actualité","Bac+4","Bac+5","1.0","60.0","http://esj-lille.fr/formations/master-changement-climatique-medias-a-distance/","Oui","Oui","Changement climatique et média","Non-indiqué","Obligatoire","Non-indiqué","Non-indiqué","Non-indiqué","Le programme ne donne pas plus de détails sur le contenu du cours. Cependant, la formation aborde de manière complète et approfondie la plupart des éléments de la question du changement climatique.","1.0"
"Autres","ESJ Lille","Master Changement climatique et Médias","Arts, Lettres, Langues","Journalisme","Master 2 à distance destiné aux journalistes et communicants professionnels.  Le master apporte les éléments de methodologie et de contenus scientifiques permettant d'intégrer l'information climatique et environnementale dans le traitement de l'actualité","Bac+4","Bac+5","1.0","60.0","http://environnement.ens.fr/enseignements/cours-et-seminaires/geopolitique-de-l-environnement/","Oui","Oui","Adaptation au changement climatique","Non-indiqué","Obligatoire","Non-indiqué","Non-indiqué","Non-indiqué","Le programme ne donne pas plus de détails sur le contenu du cours. Cependant, la formation aborde de manière complète et approfondie la plupart des éléments de la question du changement climatique.","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","1.0"
