"ETABLISSEMENT","","","","","FORMATION","","","","","","","UNITE DE VALEUR (COURS)","","","","","","",""
"Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Comptabilité"
"HEC","M1 : la formation généraliste en management, début du cycle Master ","Droit, Economie, Gestion","Management ","marque le début du cycle master permettant aux étudiants, au travers d'une large électivité, de s'ouvrir à des thématiques transdisciplinaires ou à des problématiques de recherche, mais aussi de se perfectionner dans les disciplines au cœur des sciences de gestion","Bac+3","Bac+4","1.0","60.0","","Oui","Non","Responsabilité sociale de l’entreprise","non indiqué","Optionnel","non indiqué","non indiqué","non indiqué","","1.0"
"HEC","M1 : la formation généraliste en management, début du cycle Master ","Droit, Economie, Gestion","Management ","marque le début du cycle master permettant aux étudiants, au travers d'une large électivité, de s'ouvrir à des thématiques transdisciplinaires ou à des problématiques de recherche, mais aussi de se perfectionner dans les disciplines au cœur des sciences de gestion","Bac+3","Bac+4","1.0","60.0","","Oui","Non","Entreprises et développement durable","non indiqué","Optionnel","non indiqué","non indiqué","non indiqué","","1.0"
"HEC","M2:  Management - Specialization in Strategic Management","Droit, Economie, Gestion","Management ","

The specialization in Strategic Management is supported by top international consulting firms, leading companies and investment banks actively involved in the curriculum through business cases and numerous real-life company projects. Participants from all around the world will benefit from the specialization’s international exposure.
","Bac+4","Bac+5","1.0","60.0","http://www.hec.edu/Masters-programs/Master-s-Programs/Grande-Ecole/Master-in-Management/Program-Details/M2-Specialization-Phase/Management/Specialization-in-Strategic-Management","Oui","Improbable","Innovative Business Models for Sustainability","non indiqué","Optionnel","non indiqué","non indiqué","non indiqué","",""
"HEC","M2:  Management - Specialization in International Finance","Droit, Economie, Gestion","Management ","
Finance and economics have always been essential components of HEC Paris’ DNA. Over the years, our Finance Majors have supplied leading international investment banks with their largest contingent of European graduates, all while irrigating the French and European economies beyond the boundaries of finance. HEC alumni have strong footholds in fields as diverse as strategic consulting, top management of industrial firms and public policymaking.
","Bac+4","Bac+5","1.0","60.0","http://www.hec.edu/Masters-programs/Master-s-Programs/Grande-Ecole/Master-in-Management/Program-Details/M2-Specialization-Phase/Management/Specialization-in-International-Finance","Non","Non","","","","","","","",""
"HEC","M2:  Management - Specialization in Marketing","Droit, Economie, Gestion","Management ","
The Marketing Specialization is based on HEC Paris’ long-running expertise in this specific field. It provides students with a comprehensive curriculum covering both marketing fundamentals and advanced knowledge of the most up-to-date field developments. It also benefits from a strong involvement from major companies that are world renowned for marketing excellence, such as L’Oréal, Google, Procter & Gamble, Pernod Ricard, Publicis, LVMH, etc
","Bac+4","Bac+5","1.0","60.0","http://www.hec.edu/Masters-programs/Master-s-Programs/Grande-Ecole/Master-in-Management/Program-Details/M2-Specialization-Phase/Management/Specialization-in-Marketing","Oui","Non","Corporate Social Responsibility and Marketing","non indiqué","Optionnel","non indiqué","non indiqué","non indiqué","",""
"HEC","M1:  Management - Specialization in Quantitative Economics and Finance","Droit, Economie, Gestion","Management ","This specialization allows students to acquire a high level in economics in either a one or two year program. The curriculum is jointly organized by Ecole Polytechnique, ENSAE, ENS Cachan, Université Paris Sud (Orsay) and HEC Paris within the Paris-Saclay Campus, thus capitalizing on the academic strengths of all the institutions offering the courses.","Bac+3","Bac+4","1.0","60.0","http://www.hec.edu/Masters-programs/Master-s-Programs/Grande-Ecole/Master-in-Management/Program-Details/M2-Specialization-Phase/Management/Specialization-in-Quantitative-Economics-and-Finance","Oui","Improbable","Environmental Economics with Geography Focus 
","non indiqué","Optionnel","non indiqué","non indiqué","non indiqué","",""
"HEC","M2:  Management - Specialization in Managerial and Financial Economics","Droit, Economie, Gestion","Management ","This specialization combines rigorous training in quantitative and analytical skills with essential knowledge in economics and finance. Students are prepared perfectly with the essential reflexes for a career in many diverse business sectors, such as in the banking and finance industry, in consulting, as well as in the corporate strategy or corporate finance departments in multinational companies.","Bac+4","Bac+5","1.0","60.0","http://www.hec.edu/Masters-programs/Master-s-Programs/Grande-Ecole/Master-in-Management/Program-Details/M2-Specialization-Phase/Management/Specialization-in-Managerial-and-Financial-Economics","Improbable","Improbable","Limits to Market Efficiency: Origins and Consequences","non indiqué","Obligatoire","non indiqué","non indiqué","non indiqué","",""
"HEC","M2:  Management - Majeure Projet, Innovation, Conception","Droit, Economie, Gestion","Management ","L’objectif général de cette spécialisation est de maîtriser les nouveaux modèles de la gestion des projets d’innovation et de les mobiliser dans le cadre d’un problème de conception réel posé par une entreprise.","Bac+4","Bac+5","1.0","60.0","http://www.hec.fr/Grande-Ecole-MS-MSc/Programmes-diplomants/Grande-Ecole/Master-in-Management/Details-du-cursus/M2-la-formation-specialisee-fin-du-cycle-Master/Management/Majeure-Projet-Innovation-Conception","Non","Non","","","","","","","",""
"HEC","M2:  Management - Specialization in Corporate Financial Management","Droit, Economie, Gestion","Management ","The Specialization in Corporate Financial Management (IFAC) provides all the expertise needed for successful careers in financial management, corporate finance or transactions services, auditing, controlling, as well as strategic consulting or advisory in the big professionalized firms. It gives students both a broad awareness of financial management and a sound technical foundation to ensure their ability to create value in the workplace.","Bac+4","Bac+5","1.0","60.0","http://www.hec.edu/Masters-programs/Master-s-Programs/Grande-Ecole/Master-in-Management/Program-Details/M2-Specialization-Phase/Management/Specialization-in-Corporate-Financial-Management","Improbable","Improbable","Contemporary Debates in Global Economy, Politics and Society.","non indiqué","Non indiqué","non indiqué","non indiqué","non indiqué","",""
"HEC","M2:  Management - Majeure Entrepreneurs","Droit, Economie, Gestion","Management ","Expérience de terrain et exigence professionnelle élevée sont les maîtres-mots de la majeure Entrepreneurs. Dotée d’une pédagogie unique et d’un corps professoral très impliqué, elle forme les étudiants à tous les aspects du projet entrepreneurial (gestion, vente, leadership…) et propose un accompagnement poussé.","Bac+4","Bac+5","1.0","60.0","http://www.hec.fr/Grande-Ecole-MS-MSc/Programmes-diplomants/Grande-Ecole/Master-in-Management/Details-du-cursus/M2-la-formation-specialisee-fin-du-cycle-Master/Management/Majeure-Entrepreneurs","Oui","Improbable","Séminaire: Impact entrepreneurship","pour démarrer un projet de création dans le domaine social, sociétal ou environnemental","Non indiqué","non indiqué","non indiqué","non indiqué","",""
