"","ETABLISSEMENT","FORMATION","","","","","","","","","UNITE DE VALEUR (COURS)","","","","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Formation initiale ou continue","Comptabilité"
"Ecole_commerce","ESSEC","Master in Management / Grande École","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+2","Bac+5","3.0","180.0","http://www.essec.edu/fr/programme/grande-ecole/grande-ecole-concours/","Oui","Improbable","Agri-food Sustainable Development","Enjeux de l'industrie agro-alimentaire : santé humaine, biodiversité, réduction des emballages, production agricole","optionnel","non indiqué","25.0","Travail de groupe, participation en classe et synthèses écrites","","Formation initiale","1.0"
"Ecole_commerce","ESSEC","Master in Management / Grande École","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+2","Bac+5","3.0","180.0","http://www.essec.edu/fr/programme/grande-ecole/grande-ecole-concours/","Oui","Improbable","New business development in the agri-food sector","Enjeux de l'industrie agro-alimentaire et opportunités pour les entreprises","optionnel","non indiqué","25.0","Projet de groupe et participation en classe","","Formation initiale","1.0"
"Ecole_commerce","ESSEC","Master in Management / Grande École","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+2","Bac+5","3.0","180.0","http://www.essec.edu/fr/programme/grande-ecole/grande-ecole-concours/","Oui","Oui","Cleantech Entrepreneurship","Causes des problèmes environnementaux, solutions technologiques et entreprises du secteur","optionnel","non indiqué","25.0","Projet de groupe (60%), participation en classe (20%) et examen final (20%)","","Formation initiale","1.0"
"Ecole_commerce","ESSEC","Master in Management / Grande École","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+2","Bac+5","3.0","180.0","http://www.essec.edu/fr/programme/grande-ecole/grande-ecole-concours/","Oui","Improbable","Stratégies pour l'électromobilité","Enjeux de la mobilité du futur, voitures électriques","optionnel","non indiqué","25.0","Participation en classe et synthèse écrite","","Formation initiale","1.0"
"Ecole_commerce","ESSEC","Master in Management / Grande École","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+2","Bac+5","3.0","180.0","http://www.essec.edu/fr/programme/grande-ecole/grande-ecole-concours/","Oui","Oui","Sustainable Operations management","Conséquences du changement climatique pour les entreprises, recyclage, solutions durables","optionnel","non indiqué","25.0","Projets de groupe","","Formation initiale","1.0"
"Ecole_commerce","ESSEC","ESSEC Global BBA","Droit, Economie, Gestion","Gestion","Formation post-bac aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+0","Bac+4","4.0","240.0","http://www.essec.edu/fr/programme/global-bba/bba-concours/","Oui","Non","Responsabilité sociale de l’entreprise","RSE","optionnel","non indiqué","non indiqué","non indiqué","Liste complète des cours non disponible","Formation initiale","1.0"
"Ecole_commerce","ESSEC","Advanced Master Strategy & Management of International Business (MS SMIB)","Droit, Economie, Gestion","Gestion","Formation spécialisée en management et gestion à l'international","Bac+4","Bac+5","1.0","75.0","http://www.essec.edu/en/program/masters/master-strategy-management-international-business/","Oui","Non","Corporate Sustainability","RSE","optionnel","non indiqué","non indiqué","non indiqué","Description du cours non disponible","Formation initiale","1.0"
"Ecole_commerce","ESSEC","Advanced Master Strategy & Management of International Business (MS SMIB)","Droit, Economie, Gestion","Gestion","Formation spécialisée en management et gestion à l'international","Bac+4","Bac+5","1.0","75.0","http://www.essec.edu/en/program/masters/master-strategy-management-international-business/","Oui","Non","Circular Economy & Sustainable Development in Africa","économie circulaire, développement durable","optionnel","non indiqué","non indiqué","non indiqué","Description du cours non disponible","Formation initiale","1.0"
"Ecole_commerce","ESSEC","Advanced Master Strategy & Management of International Business (MS SMIB)","Droit, Economie, Gestion","Gestion","Formation spécialisée en management et gestion à l'international","Bac+4","Bac+5","1.0","75.0","http://www.essec.edu/en/program/masters/master-strategy-management-international-business/","Oui","Non","CSR Management in Africa","RSE","optionnel","non indiqué","non indiqué","non indiqué","Description du cours non disponible","Formation initiale","1.0"
"Ecole_commerce","ESSEC","Mastère Spécialisé Droit des Affaires Internationales et Management (DAIM)","Droit, Economie, Gestion","Gestion","Formation spécialisée en management et droit des affaires","Bac+4","Bac+5","1.0","75.0","http://www.essec.edu/fr/programme/masters/ms-droit-des-affaires-internationales-et-management/programme/","Non","Non","aucun cours ""environnement"" identifié au sein de la formation","","","","","","","","1.0"
"Ecole_commerce","ESSEC","Mastère Spécialisé Management International Agro-alimentaire (MIA)","Droit, Economie, Gestion","Gestion","Formation spécialisée en management et gestion dans l'industrie agro-alimentaire","Bac+4","Bac+5","1.0","75.0","http://www.essec.edu/fr/programme/masters/ms-management-international-agro-alimentaire/","Oui","Improbable","Agri-food Sustainable Development","Enjeux de l'industrie agro-alimentaire : santé humaine, biodiversité, réduction des emballages, production agricole","optionnel","non indiqué","25.0","Travail de groupe, participation en classe et synthèses écrites","","Formation initiale","1.0"
